trade_id;ticker;share_amount;entry_date;entry_price;initial_stop_loss;adr_percent;market_cap;portfolio_risk;sell_shares_price_1;sell_shares_amount_1;sell_shares_date_1;sell_shares_price_2;sell_shares_amount_2;sell_shares_date_2;sell_shares_price_3;sell_shares_amount_3;sell_shares_date_3;trello_trade_review;setup_rating;setup_chart;sell_datetime
99;CHS;1058;2021-07-26;6.2480;6.0200;0.0761;0.7830;0.0025;;;;;;;6.0210;1058.0;2021-07-27;;;;2021-07-27 11:54:22
100;PRTA;162;2021-07-26;54.2800;51.5000;0.0940;2.2740;0.0050;;;;;;;51.4900;162.0;2021-07-26;;;;2021-07-26 09:45:04
101;ALEC;213;2021-07-26;34.7400;33.5600;0.0990;2.4270;0.0025;;;;;;;33.4900;213.0;2021-07-26;;;;2021-07-26 09:41:45
102;MP;617;2021-07-26;36.1600;35.5600;0.0592;6.3620;0.0036;;;;;;;35.5050;617.0;2021-07-26;;;;2021-07-26 10:19:02
103;TDUP;327;2021-07-26;28.4700;27.5800;0.0849;2.6780;0.0025;;;;;;;26.6800;327.0;2021-07-27;;;;2021-07-27 09:30:02
104;RVLV;138;2021-07-28;71.7200;70.0500;0.0521;5.0430;0.0025;;;;;;;70.0220;138.0;2021-07-28;;;;2021-07-28 10:22:17
105;VXRT;912;2021-07-29;8.9290;8.6200;0.0854;1.0040;0.0025;;;;;;;8.6200;912.0;2021-07-29;;;;2021-07-29 10:17:37
106;ISEE;1502;2021-07-29;9.1486;8.9700;0.0959;0.8850;0.0025;;;;;;;8.9630;1502.0;2021-07-29;;;;2021-07-29 10:54:28
107;XELA;2292;2021-08-02;2.7650;2.6800;0.2248;0.1630;0.0025;;;;;;;2.8950;2292.0;2021-08-10;;;;2021-08-10 21:55:00
108;DDS;30;2021-08-02;191.7900;183.8300;0.0529;4.0490;0.0025;;;;;;;183.2750;30.0;2021-08-02;;;;2021-08-02 17:15:06
109;AEHR;720;2021-08-02;5.9420;5.6100;0.1881;0.1390;0.0025;;;;;;;5.5190;720.0;2021-08-03;;;;2021-08-03 15:34:21
110;TGLS;232;2021-08-06;21.3600;20.2200;0.0476;1.0010;0.0025;;;;23.4600;116.0;2021-08-12;22.3800;116.0;2021-08-13;"entered too late, went fast at the beginning;";;;2021-08-13 15:33:00
111;EXPR;1000;2021-08-06;5.3360;5.0500;0.0989;0.3690;0.0025;;;;6.3300;500.0;2021-08-10;5.3514;500.0;2021-08-17;;;;2021-08-17 18:58:00
112;AEHR;865;2021-08-06;5.8489;5.5400;0.1868;0.1380;0.0025;;;;;;;5.8550;865.0;2021-08-12;;;;2021-08-12 15:53:00
113;SI;67;2021-08-13;118.6100;115.0000;0.0640;3.1790;0.0025;;;;;;;114.9500;67.0;2021-08-13;;;;2021-08-13 15:53:45
114;BITF;2263;2021-08-20;6.0500;5.9300;0.1204;0.9900;0.0025;;;;;;;5.9270;2263.0;2021-08-20;"Good:
- built a range w/ lower highs and higher lows
- above EMA20
- hot sector BTC breaking out
- ORB
Bad:
- below EMA10
- only 3 days of conso
- last candle not very tight
- extended on the weekly
- horizontal resistance on weekly twice before
Notes:
- MARA instead kept its breakout
- not so extended on weekly
- not such a strong horizontal resistance";3;https://www.tradingview.com/x/H9ptLfW6/;2021-08-20 16:53:45
115;CRBU;338;2021-08-23;27.8200;27.0000;0.1214;1.5460;0.0025;;;;;;;26.7800;338.0;2021-08-23;;;;2021-08-23 15:53:00
116;BNTX;21;2021-08-23;381.5400;370.2000;0.1079;84.5610;0.0025;;;;;;;370.0100;21.0;2021-08-24;;;;2021-08-24 15:39:00
117;NET;155;2021-08-23;121.7000;120.1000;0.0405;38.3950;0.0025;;;;;;;121.0000;155.0;2021-08-31;;;;2021-08-31 21:58:00
118;SNAP;163;2021-08-23;75.1900;73.6700;0.0428;118.2350;0.0025;;;;;;;73.6600;163.0;2021-08-25;;;;2021-08-25 16:07:00
119;DVAX;454;2021-08-23;12.8210;12.3100;0.0612;1.5040;0.0025;16.6000;227.0;2021-08-25;19.2700;100.0;2021-08-31;15.1800;127.0;2021-09-13;;;;2021-09-13 15:31:00
120;ZI;176;2021-08-23;62.9700;61.4000;0.0512;28.3010;0.0025;;;;;;;61.3810;176.0;2021-08-24;;;;2021-08-24 20:36:00
121;LHDX;416;2021-08-23;10.4400;9.8500;0.1232;0.3960;0.0025;;;;;;;9.7930;416.0;2021-08-25;;;;2021-08-25 15:32:00
122;X;463;2021-08-24;28.1460;27.5500;0.0521;7.5660;0.0025;;;;;;;27.5110;463.0;2021-08-25;;;;2021-08-25 20:34:00
123;GXO;136;2021-08-24;81.5400;79.8600;0.0868;9.3330;0.0025;;;;;;;79.7490;136.0;2021-09-01;;;;2021-09-01 15:42:00
124;GOGO;714;2021-08-25;13.3900;13.0200;0.0576;1.4590;0.0025;;;;;;;13.0150;714.0;2021-09-09;;;;2021-09-09 15:44:00
125;GME;33;2021-08-30;210.7300;203.0200;0.0820;16.4760;0.0025;;;;;;;203.0100;33.0;2021-09-03;;;;2021-09-03 18:56:00
126;ARRY;505;2021-08-31;19.4040;18.9000;0.0581;2.4620;0.0025;;;;;;;18.8650;505.0;2021-09-01;;;;2021-09-01 15:45:00
127;MSTR;15;2021-09-01;716.7400;695.2800;0.0500;6.9400;0.0025;;;;;;;694.7500;15.0;2021-09-01;;;;2021-09-01 16:50:00
128;BITF;890;2021-09-01;6.0900;5.8300;0.1082;1.0110;0.0025;;;;;;;5.8200;890.0;2021-09-07;;;;2021-09-07 17:07:00
129;NTLA;55;2021-09-01;164.7900;160.0000;0.1082;12.1240;0.0025;;;;;;;159.6100;55.0;2021-09-08;;;;2021-09-08 16:25:00
130;M;420;2021-09-02;22.9450;22.4000;0.0529;7.0850;0.0025;;;;;;;22.3850;420.0;2021-09-03;;;;2021-09-03 15:40:00
131;LTHM;481;2021-09-02;26.1550;25.6000;0.0628;4.2750;0.0025;;;;;;;25.5820;481.0;2021-09-02;;;;2021-09-02 19:47:00
132;MSTR;28;2021-09-02;726.4900;718.2000;0.0437;7.0570;0.0025;;;;;;;718.0300;28.0;2021-09-02;;;;2021-09-02 16:03:00
133;NCTY;877;2021-09-03;16.3900;16.0800;0.1084;0.2500;0.0025;;;;;;;16.0800;877.0;2021-09-03;;;;2021-09-03 15:32:00
134;MVIS;1250;2021-09-03;15.0800;14.8900;0.0648;2.5460;0.0025;;;;;;;14.8910;1250.0;2021-09-03;;;;2021-09-03 17:35:00
135;NAKD;14881;2021-09-03;0.6853;0.6682;0.0705;0.6080;0.0025;;;;;;;0.6664;14881.0;2021-09-03;;;;2021-09-03 16:10:00
136;AMC;270;2021-09-07;45.7840;44.8800;0.1058;24.5530;0.0025;;;;50.9200;135.0;2021-09-10;45.7600;135.0;2021-09-15;;;;2021-09-15 15:34:00
137;LTHM;333;2021-09-07;26.0620;25.2500;0.0628;4.0920;0.0025;;;;;;;25.1960;333.0;2021-09-08;;;;2021-09-08 15:33:00
138;ARRY;405;2021-09-07;19.8250;19.1925;0.0572;2.6150;0.0025;;;;;;;19.1420;405.0;2021-09-08;;;;2021-09-08 15:54:00
139;PENN;221;2021-09-07;83.2300;82.0300;0.0449;12.8020;0.0025;;;;;;;82.0350;221.0;2021-09-07;;;;2021-09-07 15:45:00
140;DAO;463;2021-09-14;14.8762;14.2100;0.1117;1.5100;0.0025;;;;;;;14.1657;463.0;2021-09-14;;;;2021-09-14 17:32:00
141;MMAT;741;2021-09-14;5.6362;5.2900;0.1351;1.3600;0.0025;;;;;;;5.2700;741.0;2021-09-14;;;;2021-09-14 19:00:00
142;BTBT;436;2021-09-14;11.7468;11.1900;0.1149;0.6020;0.0025;;;;;;;11.1346;436.0;2021-10-19;;;;2021-10-19 15:53:00
143;BEKE;532;2021-10-25;22.7440;22.2000;0.0595;25.9140;0.0025;;;;;;;22.2000;532.0;2021-10-26;"Good
- consolidating near EMA50
- tight range
- bullish candle b4 BO
Bad
- should've sold a portion after 3 days
- forgot to adjust my SL to entry -.-";;https://www.tradingview.com/x/2BuzqvdI/;2021-10-26 17:23:00
144;CPG;3125;2021-10-25;5.2155;5.1400;0.0431;2.9260;0.0025;;;;;;;5.1414;3125.0;2021-10-25;;;;2021-10-25 18:01:00
145;SM;467;2021-10-25;32.0609;31.5300;0.0575;4.0000;0.0025;;;;;;;31.5800;467.0;2021-10-28;;;;2021-10-28 15:49:00
